#config - lat:39.23088
#config - lon:140.46855166667
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-27,148,8.896663,85.062927,18.314741,13.503130,21.942005,2016,18.492155
2016-05-28,149,0.000000,77.866806,17.442463,11.804682,25.488749,2016,27.195684
2016-05-29,150,0.000000,65.895882,18.932421,10.719818,25.820240,2016,27.432491
2016-05-30,151,0.000000,61.926960,21.618662,15.958810,27.332411,2016,28.595774
2016-05-31,152,4.340401,73.098740,19.321457,13.594914,25.772760,2016,16.547249
2016-06-01,153,2.722407,81.370636,13.023998,10.547106,16.327002,2016,9.375275
2016-06-02,154,1.218026,79.558998,12.428129,10.268524,16.126881,2016,13.329375
2016-06-03,155,0.000000,71.973366,14.402706,8.292150,20.646954,2016,22.144367
2016-06-04,156,0.000000,64.583679,18.219839,8.581274,26.073673,2016,24.570076
2016-06-05,157,0.000000,77.033836,17.688486,12.860995,22.149471,2016,22.645409
2016-06-06,158,0.000000,67.449348,18.479174,12.101655,25.353302,2016,24.965834
2016-06-07,159,0.000000,65.801476,20.480736,12.976523,27.064255,2016,29.037066
2016-06-08,160,17.907681,80.834702,20.709848,15.880358,26.737743,2016,16.839008
2016-06-09,161,13.252419,92.184967,19.788477,17.531263,24.560995,2016,6.184328
2016-06-10,162,0.000000,74.947044,19.192398,14.745889,24.700710,2016,27.581867
2016-06-11,163,0.000000,66.069626,21.765614,12.272855,30.609507,2016,29.196428
2016-06-12,164,0.000000,68.787346,23.464462,16.607229,30.790663,2016,26.630354
2016-06-13,165,5.782521,86.543045,19.769541,17.065426,23.377621,2016,4.556714
2016-06-14,166,0.000000,82.242714,19.821609,16.879456,23.099310,2016,10.429212
2016-06-15,167,4.526561,74.566505,20.661659,16.617746,25.759651,2016,21.154753
2016-06-16,168,32.205475,91.110733,19.695824,16.214584,22.816332,2016,6.597501
2016-06-17,169,4.749115,85.221809,20.880581,18.521252,24.468178,2016,10.447143
2016-06-18,170,0.000000,82.613075,19.559071,16.550381,22.751993,2016,14.448481
2016-06-19,171,1.183672,78.800049,21.605986,14.901734,29.184744,2016,22.654665
2016-06-20,172,8.858459,81.980400,21.684107,18.054688,26.482325,2016,17.150190
2016-06-21,173,1.698480,83.126625,21.242107,16.427507,27.363256,2016,18.776661
2016-06-22,174,0.000000,79.925262,21.607910,17.856873,26.708570,2016,20.384550
2016-06-23,175,12.511694,94.235359,18.728815,17.237545,21.199461,2016,5.076275
2016-06-24,176,1.592240,85.153030,20.807533,17.324120,25.633459,2016,12.846421
2016-06-25,177,4.065168,76.334755,22.327520,18.593832,25.573584,2016,10.790842
2016-06-26,178,1.410419,88.538879,17.188219,14.126073,21.871206,2016,9.249751
2016-06-27,179,0.000000,72.945465,18.443598,12.582546,23.839458,2016,27.386274
2016-06-28,180,0.593792,83.094673,19.930025,16.554537,22.942764,2016,7.813161
2016-06-29,181,0.000000,76.257584,22.047415,14.781545,28.685143,2016,25.750210
2016-06-30,182,0.000000,87.097649,21.079582,16.803822,24.706551,2016,8.573160
2016-07-01,183,0.000000,82.005409,23.345472,19.726580,27.511398,2016,22.163376
2016-07-02,184,7.876148,89.137856,23.360014,19.498993,26.697847,2016,9.237847
2016-07-03,185,0.580902,81.408409,21.758493,19.122355,25.766779,2016,13.693857
2016-07-04,186,0.000000,81.428612,21.083174,18.062954,25.480558,2016,18.892870
2016-07-05,187,0.000000,76.791809,20.556921,16.644445,24.590345,2016,18.080610
2016-07-06,188,41.444271,96.708984,20.499071,17.431543,24.429922,2016,3.315668
2016-07-07,189,0.000000,90.241982,19.860155,17.600224,21.798115,2016,11.023849
2016-07-08,190,1.512726,84.284683,21.077377,17.099478,25.437366,2016,19.365408
2016-07-09,191,8.321902,93.079964,21.969343,20.086243,24.850712,2016,7.278662
2016-07-10,192,0.000000,88.252220,21.965086,19.909660,24.942240,2016,7.625587
2016-07-11,193,0.000000,78.144127,21.106754,16.791361,26.504946,2016,21.345249
2016-07-12,194,0.000000,80.260635,21.110970,14.918194,28.316950,2016,26.831835
2016-07-13,195,0.000000,80.346245,23.689226,16.219213,31.006237,2016,22.868567
2016-07-14,196,23.403999,96.800949,22.571112,21.473379,25.205740,2016,4.794811
2016-07-15,197,1.696976,83.313019,24.157305,20.647909,29.552393,2016,19.239244
2016-07-16,198,0.509466,82.809341,23.487764,19.351234,27.834427,2016,18.532099
2016-07-17,199,6.355589,91.644379,23.175236,20.611189,27.680540,2016,5.425900
2016-07-18,200,0.000000,86.007072,22.303171,20.420214,25.175587,2016,11.451788
2016-07-19,201,2.592638,84.395370,21.508741,19.228050,25.329988,2016,20.187609
2016-07-20,202,1.536458,80.065895,21.523592,18.699663,26.837849,2016,21.744499
2016-07-21,203,0.000000,78.491333,22.011578,17.940392,26.634501,2016,15.875405
2016-07-22,204,0.000000,69.013237,22.441650,16.143543,28.620047,2016,27.010206
2016-07-23,205,0.000000,71.100143,21.842993,15.282553,28.401861,2016,28.285477
2016-07-24,206,0.000000,70.241302,23.136614,16.130457,28.856018,2016,29.112337
2016-07-25,207,0.000000,71.386162,24.524059,17.212215,30.219099,2016,24.007044
2016-07-26,208,0.000000,76.976974,24.826551,19.330742,29.801102,2016,17.184334
2016-07-27,209,1.087825,84.014938,24.420326,21.008116,27.692339,2016,7.079212
2016-07-28,210,3.314602,87.522881,25.881937,22.603258,31.450912,2016,10.231999
2016-07-29,211,27.488171,76.426743,26.256325,21.719357,33.848152,2016,21.571272
2016-07-30,212,5.096918,79.010551,25.584015,21.214354,31.815722,2016,20.129253
2016-07-31,213,0.000000,75.826576,27.004183,22.986584,32.991589,2016,19.959312
2016-08-01,214,53.732437,78.577049,26.463667,21.280920,32.423714,2016,22.547152
2016-08-02,215,4.818944,87.494713,24.630978,23.364153,28.512037,2016,11.260198
2016-08-03,216,0.000000,84.202347,25.136488,22.230658,29.518860,2016,16.511761
2016-08-04,217,0.000000,82.511650,25.020222,21.143770,29.922039,2016,23.705967
2016-08-05,218,0.000000,79.504402,25.220371,21.033325,30.423065,2016,26.248144
2016-08-06,219,0.000000,78.192383,26.209248,20.382435,31.629705,2016,25.116522
2016-08-07,220,0.000000,69.046295,28.238636,22.332466,35.406425,2016,26.182732
2016-08-08,221,0.000000,72.995972,27.438572,20.945097,33.772614,2016,23.752119
2016-08-09,222,0.000000,78.439461,25.033379,20.836523,30.371557,2016,15.555851
2016-08-10,223,0.000000,77.901436,22.823008,18.992085,27.800421,2016,20.117411
2016-08-11,224,0.000000,75.250580,22.817612,17.095884,30.262770,2016,27.225590
2016-08-12,225,0.000000,72.456406,24.783360,17.936611,31.684601,2016,26.531096
2016-08-13,226,0.000000,68.876526,25.099098,18.065050,32.241600,2016,25.887852
