#config - lat:38.811523333333
#config - lon:141.02856333333
#config - planting_date:2016-05-04
#config - harvesting_date:2016-09-17
#config - yield:620
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-04,125,10.303934,79.243469,16.198662,10.832699,21.525827,2016,10.828639
2016-05-05,126,0.000000,55.179810,14.751326,8.690451,19.180662,2016,9.783278
2016-05-06,127,0.000000,53.037910,16.143274,8.677690,23.520990,2016,19.228794
2016-05-07,128,1.503066,74.264427,15.205175,10.752173,21.372013,2016,11.976154
2016-05-08,129,0.000000,42.871044,15.461761,6.269420,21.412909,2016,29.565844
2016-05-09,130,0.000000,63.773670,13.688636,4.094021,22.142937,2016,25.699217
2016-05-10,131,24.511633,93.308670,13.646806,10.746635,16.182344,2016,5.056684
2016-05-11,132,6.807738,94.082306,14.242451,12.817518,16.883062,2016,4.130734
2016-05-12,133,0.000000,62.986794,14.948318,9.935165,19.883532,2016,25.999069
2016-05-13,134,0.000000,72.515709,16.049965,7.099995,24.882524,2016,24.242882
2016-05-14,135,0.000000,61.234127,16.178637,9.551382,23.521093,2016,28.249819
2016-05-15,136,0.000000,62.773872,13.059093,6.140680,20.739298,2016,29.369177
2016-05-16,137,0.000000,80.770180,14.445655,6.616551,20.398621,2016,18.301720
2016-05-17,138,16.129383,91.428864,14.495720,10.393055,17.840845,2016,6.062490
2016-05-18,139,0.000000,70.131653,16.478727,7.681785,26.757950,2016,29.142172
2016-05-19,140,0.000000,61.357681,15.705585,8.303368,23.489475,2016,27.906961
2016-05-20,141,0.000000,63.121037,14.581852,8.242625,22.164066,2016,22.023489
2016-05-21,142,0.000000,76.508080,16.012400,10.323500,22.586050,2016,12.431512
2016-05-22,143,0.000000,72.650993,19.712957,13.265625,28.813047,2016,25.757738
2016-05-23,144,0.000000,53.688210,20.464621,11.118402,31.049789,2016,27.441984
2016-05-24,145,0.000000,63.321201,18.952711,12.036699,25.744244,2016,21.576689
2016-05-25,146,0.000000,86.291725,18.694111,15.977517,22.322691,2016,7.896689
