#config - lat:37.169616666667
#config - lon:138.738305
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-12,133,1.516384,70.969635,14.177340,10.949558,19.588369,2016,20.682184
2016-05-13,134,0.000000,64.510231,17.472395,10.862671,25.467518,2016,21.951269
2016-05-14,135,0.000000,77.896446,16.762283,13.056878,22.364130,2016,20.688374
2016-05-15,136,0.000000,57.331764,19.549395,11.465068,27.247217,2016,28.690632
2016-05-16,137,0.000000,54.709564,20.542063,13.046136,26.774998,2016,23.075962
2016-05-17,138,11.752255,94.382408,12.074380,9.251882,14.201049,2016,7.371654
2016-05-18,139,0.000000,62.684013,15.170780,5.878383,24.864584,2016,29.636299
2016-05-19,140,0.000000,59.539158,17.758965,9.572735,25.849546,2016,26.423218
2016-05-20,141,0.000000,60.167999,18.640257,13.141332,25.243118,2016,21.576763
2016-05-21,142,0.000000,63.910675,18.141838,12.435616,24.643326,2016,27.369925
2016-05-22,143,0.000000,65.360161,18.555733,10.276663,26.357790,2016,28.492710
2016-05-23,144,0.000000,59.449596,18.957968,13.046878,27.252653,2016,27.876272
2016-05-24,145,0.000000,47.221565,21.945433,12.073678,29.346556,2016,22.402281
2016-05-25,146,0.000000,60.944187,20.053530,16.767860,23.864588,2016,8.042461
2016-05-26,147,0.000000,71.777596,21.650005,16.173929,28.542973,2016,18.548990
2016-05-27,148,8.680211,84.980553,17.644117,13.556614,23.538462,2016,13.732031
2016-05-28,149,0.000000,74.996300,18.030918,13.061545,24.523670,2016,20.858088
2016-05-29,150,0.000000,64.159538,21.013031,13.252212,29.305944,2016,25.221266
2016-05-30,151,0.000000,69.775757,18.908573,16.037855,21.935015,2016,11.172790
2016-05-31,152,0.544813,79.857643,19.410639,15.148715,24.720352,2016,19.601082
2016-06-01,153,0.510916,67.719963,14.415028,12.648452,17.230589,2016,11.913540
2016-06-02,154,0.552420,68.508789,13.208982,8.763001,17.122299,2016,19.892237
2016-06-03,155,0.000000,60.649189,15.008476,6.188195,23.500593,2016,30.592541
2016-06-04,156,0.000000,53.935268,19.884062,12.049258,27.284916,2016,24.579908
2016-06-05,157,0.000000,72.726227,19.187239,15.446611,24.985779,2016,27.199329
2016-06-06,158,0.000000,75.493767,18.577492,14.031058,24.967690,2016,24.030561
2016-06-07,159,0.000000,71.263557,20.471600,15.464946,25.772251,2016,13.854201
2016-06-08,160,0.000000,68.535011,22.364687,17.064392,28.550625,2016,29.325808
2016-06-09,161,1.135762,84.439659,19.873346,17.461720,23.885048,2016,8.822015
2016-06-10,162,0.000000,77.753670,20.572535,16.259090,26.576168,2016,25.839569
2016-06-11,163,0.000000,65.607216,22.571806,14.881155,29.867411,2016,27.290251
2016-06-12,164,0.000000,58.380741,24.245888,17.857443,30.058159,2016,22.546143
2016-06-13,165,17.474037,90.195137,18.869360,16.567875,23.741779,2016,7.230375
2016-06-14,166,0.966438,86.208946,19.775259,17.957615,22.697601,2016,11.038082
2016-06-15,167,10.365984,67.298935,21.764263,17.362160,28.837456,2016,18.771370
2016-06-16,168,1.504493,64.004005,21.961964,18.665239,24.876818,2016,7.958770
2016-06-17,169,2.523426,80.181259,21.461554,18.356871,25.669083,2016,20.567837
2016-06-18,170,0.000000,70.894119,21.569670,16.850573,27.470657,2016,24.142746
2016-06-19,171,0.000000,63.740318,22.164888,16.762512,29.165569,2016,16.768757
2016-06-20,172,4.394423,74.518272,22.058250,18.055702,26.567469,2016,25.327011
2016-06-21,173,0.000000,76.650024,20.976740,17.561123,26.570292,2016,14.007880
2016-06-22,174,0.000000,81.649536,21.870726,18.155069,26.564400,2016,15.989777
2016-06-23,175,18.838451,96.270714,19.287743,16.873550,21.384848,2016,7.165652
2016-06-24,176,10.496307,81.989410,19.982124,15.963810,23.963516,2016,9.815614
2016-06-25,177,23.825985,77.576401,20.005152,16.886415,22.509813,2016,10.236095
2016-06-26,178,0.000000,78.852684,19.483168,16.068426,23.654324,2016,23.141525
2016-06-27,179,0.000000,72.207115,21.192232,15.164052,26.765463,2016,28.934240
2016-06-28,180,16.580570,89.483505,18.901369,16.955774,21.681950,2016,7.733036
2016-06-29,181,0.000000,81.079033,21.599451,16.569712,27.146883,2016,21.108614
2016-06-30,182,1.356157,87.113708,21.614944,19.955500,24.094913,2016,10.031116
2016-07-01,183,0.000000,77.639038,23.822710,19.461933,29.263084,2016,25.194351
2016-07-02,184,0.000000,68.857269,25.530956,21.367485,31.278986,2016,13.837336
2016-07-03,185,12.523971,89.539726,23.627384,21.958294,26.181730,2016,10.035057
2016-07-04,186,14.019016,96.000565,21.048117,19.271784,22.400343,2016,10.290172
2016-07-05,187,0.000000,89.765007,21.938423,19.162903,25.164984,2016,9.672691
2016-07-06,188,3.598663,75.608757,25.721134,20.457766,31.833546,2016,17.990835
2016-07-07,189,4.530816,90.642685,21.567736,19.276955,24.409369,2016,10.166886
2016-07-08,190,27.036169,88.743118,22.955513,19.270426,27.267229,2016,15.646256
2016-07-09,191,15.196182,95.207596,21.557499,20.266373,23.569246,2016,6.537466
2016-07-10,192,1.590992,85.327477,23.261560,19.568726,28.957699,2016,25.273531
2016-07-11,193,0.000000,82.405945,22.961584,18.859314,28.264217,2016,22.766674
2016-07-12,194,0.000000,73.315430,23.956726,17.370462,30.254402,2016,29.130962
2016-07-13,195,11.130322,91.676071,23.264704,20.870260,25.773714,2016,7.032055
2016-07-14,196,9.818745,88.880737,23.559076,21.156166,27.073004,2016,12.602165
2016-07-15,197,20.810806,89.993546,22.160624,19.463720,27.051491,2016,13.557602
2016-07-16,198,0.000000,85.769440,23.359604,19.473152,27.658419,2016,21.609550
2016-07-17,199,6.158847,85.637085,23.472937,21.663256,27.766922,2016,10.813706
2016-07-18,200,0.000000,86.966484,22.379412,21.061512,25.094011,2016,11.065383
2016-07-19,201,0.000000,81.818695,23.469318,19.560204,28.953989,2016,26.343924
2016-07-20,202,0.000000,82.947983,23.065540,20.058855,27.961824,2016,21.227488
2016-07-21,203,0.000000,82.745605,21.969284,19.656006,25.867634,2016,10.028583
2016-07-22,204,0.000000,75.396774,23.260876,18.469160,28.946239,2016,22.317633
2016-07-23,205,0.000000,70.694298,23.563902,18.754910,28.951641,2016,23.286264
2016-07-24,206,0.000000,64.495140,24.471289,19.952564,30.358856,2016,26.605894
2016-07-25,207,0.000000,75.036552,23.782957,20.456890,28.074739,2016,12.325160
2016-07-26,208,22.158707,88.448753,22.086430,20.566872,24.367216,2016,4.684206
2016-07-27,209,2.306300,84.118629,23.787279,20.167734,29.058670,2016,13.229227
2016-07-28,210,0.000000,73.510559,25.794899,21.869888,31.367867,2016,16.702219
2016-07-29,211,0.000000,71.351906,26.298336,21.278543,32.159828,2016,21.968645
2016-07-30,212,0.553418,72.277222,25.900753,22.357813,31.460978,2016,17.353041
2016-07-31,213,0.000000,73.367043,25.513916,21.271116,31.661306,2016,23.058380
2016-08-01,214,10.226586,81.954697,24.724609,20.974005,31.453529,2016,21.863581
2016-08-02,215,32.860554,91.565742,23.141888,20.875912,27.798302,2016,13.414854
2016-08-03,216,0.000000,83.434166,24.531191,20.473228,28.775530,2016,21.169786
2016-08-04,217,0.000000,82.722725,26.124481,22.940725,30.963755,2016,23.069244
2016-08-05,218,0.000000,81.748802,25.842884,21.260523,31.369705,2016,25.048893
2016-08-06,219,0.000000,75.327431,26.647429,21.171896,32.465519,2016,25.716043
2016-08-07,220,0.000000,70.290550,27.650089,21.975142,33.856636,2016,26.571661
2016-08-08,221,0.000000,74.247063,26.752703,21.472414,32.160183,2016,23.427704
2016-08-09,222,21.435953,84.670189,25.058922,22.451647,28.078638,2016,14.821467
2016-08-10,223,0.000000,79.679222,23.958334,21.546310,27.577553,2016,16.566206
2016-08-11,224,0.000000,75.823402,23.957766,19.663570,28.971827,2016,24.060793
2016-08-12,225,0.000000,73.276627,24.262960,17.878887,30.863197,2016,27.283970
2016-08-13,226,0.000000,75.217155,25.461376,19.972355,30.670313,2016,23.528934
2016-08-14,227,0.000000,76.084206,25.262737,21.559719,30.265415,2016,16.776487
2016-08-15,228,19.541471,88.317535,24.164719,21.852152,27.577461,2016,7.801630
2016-08-16,229,0.000000,72.937500,26.068914,20.574833,32.671204,2016,22.628386
2016-08-17,230,0.000000,87.334663,24.570803,21.473423,28.967693,2016,13.973947
2016-08-18,231,0.000000,84.296547,25.456320,21.658298,30.363148,2016,19.775248
2016-08-19,232,0.000000,82.416130,26.261297,21.479996,32.648212,2016,18.954620
2016-08-20,233,0.000000,69.115005,26.071077,21.482952,32.764771,2016,17.466112
2016-08-21,234,0.000000,75.855232,26.861279,21.969179,32.686436,2016,21.097332
2016-08-22,235,16.633560,81.374710,24.169180,20.976950,28.700407,2016,7.712675
2016-08-23,236,4.030789,85.751076,23.471384,21.072395,26.718735,2016,10.203194
2016-08-24,237,0.000000,83.769394,24.762663,20.278355,30.788494,2016,20.785400
2016-08-25,238,0.535286,74.762642,26.661030,21.981482,33.000023,2016,21.870085
2016-08-26,239,36.978264,81.921440,24.969452,21.286381,31.218237,2016,14.694395
2016-08-27,240,13.714795,89.501083,19.476015,18.093740,21.269485,2016,5.351128
2016-08-28,241,0.000000,71.047478,23.362165,16.418993,30.033546,2016,22.337275
2016-08-29,242,0.000000,64.361565,25.982929,20.037960,32.665924,2016,21.028383
2016-08-30,243,51.735180,93.278770,19.877522,16.723778,23.416731,2016,5.410992
2016-08-31,244,0.000000,61.277050,22.667984,15.229911,29.923723,2016,24.344027
2016-09-01,245,0.000000,65.336105,22.474106,16.133810,29.727348,2016,23.576389
2016-09-02,246,0.000000,67.440880,24.263699,17.632380,31.634966,2016,23.544142
2016-09-03,247,0.000000,63.764439,26.154804,20.027494,32.062046,2016,25.080837
2016-09-04,248,0.000000,66.460129,26.260120,20.651775,32.870300,2016,22.171394
2016-09-05,249,3.473737,69.318924,25.664469,20.458210,33.181309,2016,19.643234
2016-09-06,250,0.000000,81.153099,24.466784,21.250740,29.620157,2016,14.021704
2016-09-07,251,0.000000,86.044403,24.662560,21.839149,29.915440,2016,15.116610
2016-09-08,252,5.092285,86.791748,23.272533,20.355305,28.731323,2016,7.088303
2016-09-09,253,11.788560,85.743134,21.272408,19.354637,25.641136,2016,13.605642
2016-09-10,254,0.000000,82.650597,21.767895,18.655745,26.258259,2016,15.414976
