#config - lat:37.670055
#config - lon:138.87909666667
#config - planting_date:2016-05-01
#config - harvesting_date:2016-09-10
#config - yield:581
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-01,122,3.463470,88.594635,14.002213,11.112195,17.252579,2016,7.017335
2016-05-02,123,0.000000,67.703880,17.452370,13.415952,23.425829,2016,12.102407
2016-05-03,124,0.000000,53.477516,21.844690,12.500137,31.680408,2016,20.873257
2016-05-04,125,5.247727,61.295177,17.819506,12.711418,22.710827,2016,14.735921
2016-05-05,126,0.000000,64.912041,16.590633,13.375800,19.801437,2016,17.953503
2016-05-06,127,0.000000,50.389923,17.901085,9.983433,24.392141,2016,16.804918
2016-05-07,128,5.149605,86.417122,16.092306,13.803410,19.704931,2016,6.773395
2016-05-08,129,0.000000,68.898003,16.060987,11.630243,20.676813,2016,28.417156
2016-05-09,130,0.000000,59.956242,16.961418,9.762746,23.945337,2016,23.031393
2016-05-10,131,2.335763,81.352776,18.474209,15.707191,23.451048,2016,11.151463
2016-05-11,132,9.535781,90.028305,16.444927,13.176194,20.025064,2016,2.848593
2016-05-12,133,0.000000,77.415535,15.282571,12.054813,20.274063,2016,22.986094
2016-05-13,134,0.000000,68.384872,18.837894,12.821795,25.336437,2016,26.827314
2016-05-14,135,0.000000,81.122070,16.132494,13.348721,19.749582,2016,21.475630
2016-05-15,136,0.000000,62.125641,20.082907,12.420815,27.398205,2016,27.605440
2016-05-16,137,0.593006,57.797150,22.139704,13.838029,31.603949,2016,26.375019
2016-05-17,138,13.284904,91.405396,14.114411,11.924640,17.121866,2016,7.048692
2016-05-18,139,0.000000,70.289253,16.644897,10.078249,23.451794,2016,27.350988
2016-05-19,140,0.000000,66.008209,18.756348,11.575275,25.768728,2016,26.456604
2016-05-20,141,0.000000,53.537800,19.169277,14.074265,25.954517,2016,23.050190
2016-05-21,142,0.000000,77.729660,18.696129,13.610124,23.766869,2016,26.251076
2016-05-22,143,0.000000,75.832207,19.279037,13.710155,25.011955,2016,28.547066
2016-05-23,144,0.000000,65.306633,19.394827,13.787560,26.841246,2016,27.686407
2016-05-24,145,0.000000,46.781822,22.991304,13.889430,30.600485,2016,20.532936
2016-05-25,146,0.000000,67.664566,21.554274,19.752394,25.202375,2016,7.018564
2016-05-26,147,7.685982,79.746056,22.230694,19.330507,27.513741,2016,11.598118
2016-05-27,148,16.233187,85.000740,19.068960,15.437040,24.159998,2016,17.848581
2016-05-28,149,0.000000,82.869423,19.485849,15.594328,25.314390,2016,23.662994
