#config - lat:35.539458333333
#config - lon:140.39256333333
#config - planting_date:2016-05-03
#config - harvesting_date:2016-08-29
#config - yield:687.5
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-03,124,0.000000,78.176453,19.704708,14.216433,24.514561,2016,22.816525
2016-05-04,125,8.507184,62.799507,21.470087,18.743202,26.270382,2016,21.567369
2016-05-05,126,0.000000,54.161888,21.494051,16.133766,27.350716,2016,27.639637
2016-05-06,127,2.211669,75.910561,18.111893,14.757118,22.422260,2016,12.093162
2016-05-07,128,0.000000,73.672989,20.066092,16.193939,25.203941,2016,20.550749
2016-05-08,129,0.000000,63.079514,19.364138,14.902958,25.313210,2016,25.924013
2016-05-09,130,10.537604,82.488861,17.821783,15.022650,21.696230,2016,9.629962
2016-05-10,131,9.939250,89.223244,18.351271,15.489297,23.462740,2016,8.928968
2016-05-11,132,13.998405,81.272598,21.814482,15.698994,26.444082,2016,11.322075
2016-05-12,133,0.000000,73.236343,19.352201,15.187824,23.829451,2016,29.145184
2016-05-13,134,0.000000,75.539192,19.629742,14.142712,26.060101,2016,28.111794
2016-05-14,135,0.000000,71.793694,17.967648,13.399149,23.630581,2016,27.463144
2016-05-15,136,0.000000,77.635559,15.993807,12.661602,21.259186,2016,26.914948
2016-05-16,137,0.000000,77.794083,18.595802,13.040994,23.821882,2016,24.540916
2016-05-17,138,32.703381,91.765335,18.438618,14.513619,21.209892,2016,3.917274
2016-05-18,139,0.000000,65.013405,17.685366,12.314832,23.970539,2016,29.381947
2016-05-19,140,0.000000,67.569382,17.524691,12.414109,23.423038,2016,27.720346
2016-05-20,141,0.000000,77.776230,16.141781,13.840478,19.293917,2016,13.268706
2016-05-21,142,0.000000,77.173492,17.718269,11.853352,23.849436,2016,28.268305
2016-05-22,143,0.000000,69.094963,19.617430,15.038199,26.909578,2016,26.375311
2016-05-23,144,0.000000,63.870159,21.092638,13.101475,29.898233,2016,26.183908
2016-05-24,145,0.000000,61.132118,21.813339,14.589613,29.335016,2016,23.432745
2016-05-25,146,0.000000,77.315079,21.893053,19.528027,25.349316,2016,12.614592
2016-05-26,147,0.000000,77.742043,22.725851,19.218008,26.994682,2016,18.849985
2016-05-27,148,35.065243,93.187820,18.575212,14.768155,22.855577,2016,5.885571
2016-05-28,149,0.000000,84.151588,18.089422,14.035332,23.591949,2016,14.050200
2016-05-29,150,0.000000,78.987671,20.876627,13.583615,26.750538,2016,27.760275
2016-05-30,151,14.703272,95.214127,17.551630,16.117344,20.680223,2016,7.726680
2016-05-31,152,0.000000,85.770081,19.922869,16.174570,23.965410,2016,17.081051
2016-06-01,153,0.000000,73.971924,20.700867,16.869282,25.029495,2016,20.742361
2016-06-02,154,0.000000,51.116669,19.398315,14.513114,25.236387,2016,27.724060
2016-06-03,155,0.000000,58.200230,17.976881,10.871729,22.867643,2016,28.385790
2016-06-04,156,0.000000,68.624107,21.397743,16.035280,27.128031,2016,23.386087
2016-06-05,157,1.387688,80.985237,18.806480,15.486782,21.642048,2016,11.569321
2016-06-06,158,0.000000,82.478142,19.158291,15.287220,23.500870,2016,18.162163
2016-06-07,159,0.000000,83.955521,19.640608,16.817528,22.403189,2016,8.262856
2016-06-08,160,1.330474,84.334526,21.332336,17.995378,25.287008,2016,17.378819
2016-06-09,161,9.486487,94.717567,21.847649,19.944368,24.310764,2016,7.238232
2016-06-10,162,0.000000,79.858383,22.527739,18.138405,26.839413,2016,27.697163
