#config - lat:37.17074
#config - lon:138.73437333333
#config - planting_date:2016-05-11
#config - harvesting_date:2016-10-13
#config - yield:741.3
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-05-11,132,24.248180,81.048737,14.971450,12.156586,19.678719,2016,6.175313
2016-05-12,133,1.569320,70.826424,13.770264,10.554094,19.275034,2016,20.690710
2016-05-13,134,0.000000,64.390617,17.067253,10.462578,25.162626,2016,21.957331
2016-05-14,135,0.000000,77.777573,16.360111,12.657597,22.060421,2016,20.677803
2016-05-15,136,0.000000,57.429478,19.152351,11.062840,26.950098,2016,28.713697
2016-05-16,137,0.000000,54.582432,20.148161,12.649941,26.470055,2016,23.145117
2016-05-17,138,12.085859,94.084969,11.668978,8.853033,13.886026,2016,7.417959
2016-05-18,139,0.000000,62.324047,14.766999,5.470668,24.561773,2016,29.696516
2016-05-19,140,0.000000,59.691879,17.359627,9.167476,25.550730,2016,26.427475
2016-05-20,141,0.000000,60.078827,18.248325,12.747133,24.946735,2016,21.580717
2016-05-21,142,0.000000,63.870052,17.750130,12.042776,24.346449,2016,27.395647
2016-05-22,143,0.000000,65.151543,18.160427,9.869622,26.054707,2016,28.508177
2016-05-23,144,0.000000,59.327477,18.563366,12.650021,26.950548,2016,27.910599
2016-05-24,145,0.000000,47.107727,21.557961,11.668277,29.046480,2016,22.422440
2016-05-25,146,0.000000,60.829906,19.665710,16.364233,23.558764,2016,8.047695
2016-05-26,147,0.000000,71.572395,21.265427,15.768364,28.241596,2016,18.569946
2016-05-27,148,8.989054,84.811432,17.264544,13.156557,23.236856,2016,13.754285
2016-05-28,149,0.000000,74.865654,17.659260,12.660130,24.225077,2016,20.853674
2016-05-29,150,0.000000,64.499527,20.650822,12.853664,29.011168,2016,25.264061
2016-05-30,151,0.000000,70.041924,18.551991,15.644027,21.629316,2016,11.207389
2016-05-31,152,0.553529,79.744553,19.057432,14.751535,24.416843,2016,19.580143
2016-06-01,153,0.528531,67.833366,14.064478,12.251645,16.921566,2016,11.890221
2016-06-02,154,0.560623,68.429260,12.864484,8.360418,16.814562,2016,19.878862
2016-06-03,155,0.000000,60.469894,14.667894,5.777182,23.197861,2016,30.613789
2016-06-04,156,0.000000,53.774700,19.555958,11.652579,26.985699,2016,24.589821
2016-06-05,157,0.000000,72.822838,18.860895,15.050164,24.684320,2016,27.236660
2016-06-06,158,0.000000,75.569611,18.257572,13.639607,24.670691,2016,24.052891
2016-06-07,159,0.000000,71.024529,20.156404,15.062316,25.472672,2016,13.897798
2016-06-08,160,0.000000,68.638832,22.054071,16.661547,28.257282,2016,29.390989
2016-06-09,161,1.143366,84.614960,19.561806,17.060009,23.578756,2016,8.816425
2016-06-10,162,0.000000,77.704086,20.262625,15.858137,26.271978,2016,25.876797
2016-06-11,163,0.000000,65.523491,22.263500,14.472955,29.566000,2016,27.333223
2016-06-12,164,0.000000,58.728657,23.947556,17.457518,29.759535,2016,22.559542
2016-06-13,165,18.319195,90.052116,18.563986,16.164385,23.449230,2016,7.265992
2016-06-14,166,1.022826,86.043488,19.468357,17.557680,22.385096,2016,11.040479
2016-06-15,167,11.070902,67.266129,21.461739,16.960855,28.545855,2016,18.869795
2016-06-16,168,1.576660,63.761448,21.660828,18.263561,24.572348,2016,7.994884
2016-06-17,169,2.643364,80.128159,21.160681,17.958546,25.367161,2016,20.619030
2016-06-18,170,0.000000,70.818535,21.266014,16.454727,27.168442,2016,24.140600
2016-06-19,171,0.000000,63.759480,21.863611,16.364395,28.866201,2016,16.786892
2016-06-20,172,4.640434,74.632233,21.759729,17.661184,26.269459,2016,25.376167
2016-06-21,173,0.000000,76.609566,20.672356,17.166599,26.272541,2016,14.037795
2016-06-22,174,0.000000,81.595558,21.569273,17.764940,26.271444,2016,16.082905
2016-06-23,175,19.674765,96.201553,18.981520,16.479790,21.087978,2016,7.165309
2016-06-24,176,11.016222,81.961304,19.679169,15.576858,23.677309,2016,9.833549
2016-06-25,177,25.076426,77.402603,19.695940,16.496292,22.211998,2016,10.268025
2016-06-26,178,0.000000,78.879440,19.182709,15.688957,23.380106,2016,23.228333
2016-06-27,179,0.000000,72.147293,20.890051,14.790768,26.492001,2016,29.006060
2016-06-28,180,17.368505,89.422424,18.598320,16.590960,21.408594,2016,7.777462
2016-06-29,181,0.000000,81.096130,21.299015,16.206034,26.891531,2016,21.221518
2016-06-30,182,1.312642,87.200447,21.311443,19.602978,23.829660,2016,10.055772
2016-07-01,183,0.000000,77.669624,23.518484,19.113253,29.014399,2016,25.223349
2016-07-02,184,0.000000,68.618507,25.226391,21.023386,31.031586,2016,13.851156
2016-07-03,185,13.140489,89.513832,23.325855,21.623083,25.939226,2016,10.077700
2016-07-04,186,14.552403,95.949356,20.741320,18.937429,22.156607,2016,10.286505
2016-07-05,187,0.000000,89.694969,21.636963,18.836910,24.938866,2016,9.734114
